,code,encar,chachacha,carmanager,byecar,,,,,haydealer
,E12,"전동시트(운전석, 동승석)","운전석전동시트, 조수석전동시트",전동시트,http://www.bye-car.com//images/options/detail_option10_btn_b.png,http://www.bye-car.com//images/options/detail_option13_btn_b.png,,,,
,E13,"열선시트(앞좌석, 뒷좌석)",열선시트,열선시트,http://www.bye-car.com//images/options/detail_option16_btn_b.png,http://www.bye-car.com//images/options/detail_option19_btn_b.png,,,,
,E14,블랙박스,블랙박스,블랙박스,,,,,,
,E15,없음,AV시스템,AV시스템,,,,,,
,,"커튼/블라인드(뒷좌석, 후방)",없음,없음,,,,,,
,,내비게이션,내비게이션,네비게이션,http://www.bye-car.com//images/options/detail_option27_btn_b.png,,,,,
,,앞좌석 AV 모니터,없음,앞좌석TV,,,,,,
,,뒷좌석 AV 모니터,뒷좌석모니터,뒷좌석TV,,,,,,
,,,,,,,,,,
,,없음,MP3,mp3플레이어,,,,,,
,,없음,핸즈프리,없음,,,,,,
,,없음,iPod단자,없음,,,,,,
,,뒷좌석AV모니터,뒷좌석모니터,뒷좌석TV,,,,,,
,,없음,자동주차시스템,없음,http://www.bye-car.com//images/options/detail_option11_btn_b.png,,,,,
,,파워전동트렁크,전동트렁크,없음,http://www.bye-car.com//images/options/detail_option17_btn_b.png,,,,,
,,열선스티어링휠,핸들열선,없음,,,,,,
,,"통풍시트(운전석, 동승석)",통풍시트,없음,,,,,,
,,통풍시트(뒷좌석),통풍시트,없음,http://www.bye-car.com//images/options/detail_option22_btn_b.png,,,,,
,,전동접이 사이드 미러,전동접이식미러,전동백미러,,,,,,
,,없음,없음,에어컨,,,,,,
,,없음,없음,썬팅,,,,,,
,,전동접이 사이드 미러,전동접이식미러,전동접이백미러,,,,,,
,,없음,없음,우드그레인,http://www.bye-car.com//images/options/detail_option28_btn_b.png,,,,,
,,없음,없음,도난경보기,,,,,,
,,"주차감지센서(전방,후방)",후방감지센서,전후방감지기,,,,,,
,,내비게이션,내비게이션,네비게이션,,,,,,
,,에어백(동승석),조수석에어백,조수석에어백,,,,,,
,,없음,MP3,MP3플레이어,,,,,,
,,없음,없음,메탈그레인,,,,,,
,,무선원격 시동키,없음,원격시동장치,,,,,,
,,,,,,,,,,
,,없음,제논라이트(HID),제논라이트,,,,,,
,,차체자세 제어장치(ESC),차체자세제어장치,ESP,,,,,,
,,없음,없음,공기청정기,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,없음,없음,DVD플레이어,,,,,,
,,뒷좌서 AV 모니터,뒷좌석모니터,뒷자석TV,,,,,,
,,없음,없음,DMB,,,,,,
,,스피커/앰프/우퍼,없음,앰프,,,,,,
,,없음,없음,VCD플레이어,,,,,,
,,앞좌석 AV 모니터,없음,앞좌석TV,,,,,,
,,,,,,,,,,
,,없음,없음,튜닝스피커,,,,,,
,,스피커/앰프/우퍼,없음,우퍼,,,,,,
,,,,,http://www.bye-car.com//images/options/detail_option23_btn_b.png,,,,,???
,,버킷시트,없음,버켓시트,http://www.bye-car.com//images/options/detail_option4_btn_b.png,,,,,???
,,없음,없음,트립컴퓨터,http://www.bye-car.com//images/options/detail_option25_btn_b.png,,,,,
,,없음,없음,에어댐,,,,,,
,,스트럿바,없음,스트럿바,,,,,,
,,없음,없음,범퍼가드,,,,,,
,,없음,없음,크롬휠,,,,,,
,,없음,없음,4륜구동,,,,,,
,,없음,없음,광폭타이어,,,,,,
,,스포일러,없음,리어스포일러,,,,,,
,,없음,없음,루프캐리어,,,,,,
,,없음,없음,냉장고,,,,,,
,,???,,???,,,,,,
