options,Record Count
"세이프티 파노라마 썬루프
88.0만원",2185
"컨비니언스 패키지 
45.0만원",2173
"전자식 룸미러(ECM) + 자동요금징수시스템(ETCS)
24.0만원",2157
"내비게이션(8인치, 후방카메라)
85.0만원",2145
"와이드 10.25” 내비게이션 UVO 3.0 + 컴바이너 HUD + 프리미엄 패키지 
231.0만원",2137
"세이프티 썬루프
58.0만원",2129
"드라이브 와이즈 II 
74.0만원",2125
"오토슬라이딩 도어
77.0만원",2109
"스마트 드라이빙 패키지Ⅰ 
60.0만원",2102
"세이프티 선루프
50.0만원",2100
"LED 브레이크등 , 블랙박스 ,",2087
"드라이브 와이즈 2 
150.0만원",2060
"매직테일게이트 + 러기지 스크린
60.0만원",2037
"마이링크 (후방카메라 포함)
55.0만원",2026
"14인치 블랙 럭셔리 알로이 휠
20.0만원",2024
"퍼스트 클래스 VIP 시트 
295.0만원",2024
"(8인치) 스마트 내비게이션 + 후방 카메라
90.0만원",2021
"와이드 파노라마 썬루프(블랙 유광 루프랙 포함)
108.0만원",2018
"인텔리전트 내비게이션 + ACTUNE 프리미엄 사운드 시스템(12ch)
106.0만원",2000
"4단 자동변속기(스텝게이트 타입) - 경제운전안내 시스템 포함
125.0만원",1983
"어라운드뷰 모니터링 시스템 + JBL 사운드 시스템 (10스피커, 외장엠프) + UVO 2.0
130.0만원",1958
"스포일러 , 블랙박스 , 버튼 시동키 ,",1924
"와이드 파노라마 썬루프
121.0만원",1918
"4단 자동변속기 & 후드인슐레이션
130.0만원",1896
"룸미러(하이패스, ECM)
25.0만원",1878
"스위트 
40.0만원",1872
"Exterior Pack 
70.0만원",1868
"컨비니언스 패키지 
118.0만원",1862
"8"" 스마트 내비게이션(블루링크 서비스 지원)+ACTUNE 프리미엄 사운드 시스템+후방카메라
170.0만원",1860
"파노라마 선루프
116.0만원",1848
"후측방충돌경고(후방교차충돌경고포함)
40.0만원",1846
"4단자동변속기 & 후드인슐레이션
130.0만원",1839
"와이드 파노라마 썬루프 (블랙 유광 루프랙 포함)
113.0만원",1837
"LED 실내등 , LED 브레이크등 , 블랙박스 ,",1836
"선루프
44.0만원",1835
"8인치 스마트 내비게이션(블루링크2.0) + 외장앰프(서브우퍼, 센터스피커 포함) + 클러스터 하우징 가죽감싸기
145.0만원",1831
"블랙박스 , 버튼 시동키 , 무선원격 시동키 ,",1819
"드라이빙 어시스트 패키지 II 
79.0만원",1816
"루프스킨 , 블랙박스 , 버튼 시동키 ,",1816
"커튼 에어백
20.0만원",1815
"3열 시트(7인승) + 리어 에어컨
64.0만원",1808
"시그니쳐 디자인 셀렉션 
200.0만원",1805
"드라이브 와이즈Ⅰ 
195.0만원",1804
"ESP, BAS, ARP, HSA
40.0만원",1799
"현대 스마트 센스 II 
60.0만원",1793
"백진주색
14.0만원",1792
"KRELL프리미엄사운드팩(UVO 2.0포함) 
115.0만원",1790
"퍼스트 클래스 VIP 시트 
300.0만원",1780
"FIRST CLASS VIP 시트
400.0만원",1767
"스마트 내비게이션(8인치, 후방카메라)
85.0만원",1766
"235/45R18타이어 & 18인치 알로이 휠
25.0만원",1759
"드라이빙 어시스트 패키지 
85.0만원",1754
"9.2인치 HD 스마트 미러링 내비게이션 
120.0만원",1747
"세이프티 선루프 
50.0만원",1744
"Intelligent DMB 내비게이션 + 디멘션 하이엔드 사운드 시스템(12ch)
155.0만원",1737
"버튼타입 스마트키
45.0만원",1730
"내비게이션(7인치, 후방카메라 포함)
69.0만원",1723
"하이패스시스템
20.0만원",1710
"컴포트 I 
100.0만원",1703
"7인승 + 러기지 스크린(2열 컵홀더 미포함)
20.0만원",1692
"컨비니언스 패키지 
196.0만원",1690
"헤드업 디스플레이
120.0만원",1664
"19"" 투톤 알로이 휠 & 245/40R 19 타이어 + 액티브 댐핑 컨트롤(ADC)
65.0만원",1663
"내비게이션(7인치, 후방카메라) 
85.0만원",1656
"뒷좌석 컴포트 패키지 
178.0만원",1649
"드라이브 와이즈 
45.0만원",1649
"6단 자동변속기 - 수동겸용, 스탭게이트타입, 액티브 에코시스템, 크루즈 컨트롤(정속주행장치), 가죽 변속기 노브 포함
234.0만원",1647
"AVM 패키지 II 
251.0만원",1636
"파노라마 썬루프
115.0만원",1633
"최고급 인조 가죽시트
25.0만원",1631
"뒷좌석 컴포트 패키지 
245.0만원",1624
"범퍼가드 
15.0만원",1624
"7인치 스마트 내비게이션 + 조향연동 후방카메라
79.0만원",1622
"제네시스 액티브 세이프티 컨트롤 
200.0만원",1621
"선루프
51.0만원",1616
"뒷좌석 컴포트 패키지 
175.0만원",1613
"와이드 파노라마 썬루프(블랙유광 루프랙 포함)
113.0만원",1601
"뒷좌석 듀얼 모니터 
250.0만원",1598
"KRELL 프리미엄 사운드 PACK(UVO2.0 포함) 
113.0만원",1596
"하이테크 
100.0만원",1587
"스타일 2 
83.0만원",1583
"컨비니언스 패키지 
29.0만원",1556
"파노라마 선루프
97.0만원",1554
"블랙박스 , 버튼 시동키 , 휠튜닝(정품) ,",1545
"라이트 패키지 
60.0만원",1539
"D컷 핸들 , 블랙박스 , 버튼 시동키 ,",1539
"내비게이션 (7인치, 후방카메라)
74.0만원",1531
"선루프
39.0만원",1524
"파노라마 선루프
109.0만원",1524
"225/45 R18 미쉐린 타이어 & 알로이 휠
30.0만원",1516
"럭셔리 스타일 패키지 
194.0만원",1516
"럭셔리 스타일 패키지 
200.0만원",1511
"내비게이션(7인치,후방카메라 포함)
85.0만원",1507
"루프스킨 ,",1504
"15인치 알로이 휠
30.0만원",1500
"Intelligent DMB Navigation
190.0만원",1497
"8인치 스마트 내비게이션 + ACTUNE 프리미엄 사운드 시스템(12스피커)
105.0만원",1490
"컴포트 패키지 
60.0만원",1489
"내비게이션 UVO2.0 (8인치) + 서라운드 뷰 모니터 + JBL사운드시스템(10스피커,외장앰프)
130.0만원",1484
"무선시동 리모컨키(A/T 선택시)
15.0만원",1476
"드라이빙 어시스트 패키지Ⅰ 
109.0만원",1472
"제네시스 액티브 세이프티 컨트롤 2 
160.0만원",1470
"휠튜닝(정품) ,",1468
"원터치 세이프티 전동 선루프
59.0만원",1468
"와이드 파노라마 썬루프 (블랙 유광 루프랙 포함)
120.0만원",1458
"4단자동변속기&후드인슐레이션
130.0만원",1456
"스타일2 
64.0만원",1454
"와이드 파노라마 선루프
108.0만원",1452
"운전석 통풍시트+2열 히팅 시트
30.0만원",1451
"LED 라이팅 패키지 I 
45.0만원",1444
"내비게이션(7인치, 후방카메라 포함)
70.0만원",1444
"스마트 커넥트 라이트 (T-map 내비게이션)
30.0만원",1440
"스타일 1 
60.0만원",1438
"뒷좌석 열선시트 + 뒷좌석 매뉴얼 사이드 커튼
25.0만원",1436
"마이링크(후방카메라 포함)
50.0만원",1435
"시그니쳐 디자인 셀렉션 
373.0만원",1426
"스타일 패키지 
63.0만원",1422
"6단 자동변속기(액티브 에코 시스템)
150.0만원",1419
"파노라마 선루프
105.0만원",1416
"드라이브 와이즈 
215.0만원",1415
"세이프티 썬루프
57.0만원",1414
"7"" 네비게이션 및 후방카메라
100.0만원",1409
"스타일 UP 
74.0만원",1409
"스타일 패키지 
20.0만원",1404
"8인치 스마트 내비게이션 + 조향연동 후방카메라
79.0만원",1404
"4단 자동변속기
125.0만원",1403
"파노라마 선루프
115.0만원",1402
버튼시동,1399
